Location,Account_Number,Supplier,Data Type,Replaced_On,Period_Starting,Days_In_Month,Days_Of_Data,Days_Mismatch,In,Units,export_qty,export_tco2e,export_total_days,excess_share,est_excess_qty,est_excess_tco2e,is_revenue
N01 Anzac Square - Terrica Place,141362_153568,,Electricity [kWh],,01 Mar 2026,31.0,32.0,-1.0,,14075.1843,14075.1843,9.4304,32.0,0.031,436.3,0.292,False
Balclutha Depot,55674_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,31.0,-1.0,,27.0645,,,,0.032,,,False
N01 Anzac Square - Terrica Place,141362_153568,,Electricity [kWh],,01 Sep 2025,30.0,31.0,-1.0,,13412.4194,,,,0.032,,,False
N01 Anzac Square - Terrica Place,141362_153568,,Electricity [kWh],,01 Nov 2025,30.0,31.0,-1.0,,13880.9483,,,,0.032,,,False
N01 Anzac Square - Terrica Place,141362_153568,,Electricity [kWh],,01 Apr 2026,30.0,31.0,-1.0,,13627.7419,13627.7419,9.1306,31.0,0.032,436.1,0.292,False
RPQ Townsville,A-E566291E_3051641232,Ergon,Electricity [kWh],,01 Apr 2026,30.0,31.0,-1.0,,6249.2935,6249.2935,4.187,31.0,0.032,200.0,0.134,False
Skilltech - Mitchell,SkilltechMitchell_Elec,,Electricity [kWh],,01 Nov 2025,30.0,31.0,-1.0,,1024.5806,,,,0.032,,,False
N01 Anzac Square - Terrica Place,141362_153568,,Electricity [kWh],,01 Feb 2026,28.0,29.0,-1.0,,13123.4874,,,,0.034,,,False
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,248.0,-217.0,,78.0000,,,,0.875,,,True
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,248.0,-217.0,,62.9000,,,,0.875,,,True
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,248.0,-217.0,,61.2000,,,,0.875,,,True
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,248.0,-217.0,,68.3000,,,,0.875,,,True
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 May 2026,31.0,248.0,-217.0,,74.7000,,,,0.875,,,True
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,240.0,-210.0,,71.1000,,,,0.875,,,True
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,240.0,-210.0,,68.7000,,,,0.875,,,True
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,240.0,-210.0,,67.1000,,,,0.875,,,True
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,240.0,-210.0,,72.8000,,,,0.875,,,True
